2013 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:41 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,24857,SEFTON,Tom,1,N,N,LP,Liberal,39011,435,117,2057,2299,43919,0.66
ACT,101,Canberra,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,12858,287,45,866,635,14691,-5.89
ACT,101,Canberra,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,3370,64,13,146,132,3725,3.21
ACT,101,Canberra,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,4166,103,14,260,213,4756,4.1
ACT,101,Canberra,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,42947,605,125,2034,1902,47613,-3.17
ACT,101,Canberra,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,1074,21,6,65,98,1264,1.09
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,4386,75,20,157,120,4758,-0.94
ACT,102,Fraser,24908,CHURCHILL,Darren Mark,1,N,N,DEM,Australian Democrats,2122,46,12,134,130,2444,1.95
ACT,102,Fraser,24865,LEE,Elizabeth,2,N,N,LP,Liberal,35162,428,71,1735,2297,39693,-0.79
ACT,102,Fraser,24147,LEIGH,Andrew,3,Y,Y,ALP,Australian Labor Party,50591,643,152,2289,2388,56063,-1.15
ACT,102,Fraser,24246,ALCAZAR,Freddy Alejandro,4,N,N,PUP,Palmer United Party,2775,49,20,108,111,3063,2.44
ACT,102,Fraser,24251,ROSS,Jill Elizabeth,5,N,N,RUA,Rise Up Australia Party,1353,23,6,47,79,1508,1.2
ACT,102,Fraser,24135,HUGGINS,Sam,6,N,N,BTA,Bullet Train For Australia,4505,75,16,249,254,5099,4.06
ACT,102,Fraser,24890,VERWEY,Adam,7,N,N,GRN,Australian Greens,15583,244,39,1008,791,17665,-5.77
ACT,102,Fraser,999,Informal,Informal,999,N,N,,Informal,4437,76,21,171,154,4859,-0.7
NSW,103,Banks,24568,MELHAM,Daryl,1,N,Y,ALP,Labor,28900,1631,132,1610,2562,34835,-1.92
NSW,103,Banks,24115,WELLHAM,Jake John,2,N,N,PUP,Palmer United Party,1703,162,1,124,135,2125,2.5
NSW,103,Banks,24777,KHEDR,Sayed,3,N,N,IND,Independent,587,65,3,59,54,768,0.9
NSW,103,Banks,24607,RICHARDSON,Ross,4,N,N,KAP,Katter's Australian Party,414,27,1,59,52,553,0.65
NSW,103,Banks,23257,SPIGHT,Paul,5,N,N,GRN,The Greens,3323,311,11,289,308,4242,-4.61
NSW,103,Banks,24575,FALANGA,Mark,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),1608,118,9,99,149,1983,2.34
NSW,103,Banks,23964,HADDAD,Robert Michael,7,N,N,DLP,Democratic Labour Party (DLP),339,49,1,41,40,470,0.55
NSW,103,Banks,23182,COLEMAN,David,8,Y,N,LP,Liberal,33135,1419,116,1551,3678,39899,1.49
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,8225,474,42,299,334,9374,1.58
NSW,104,Barton,24129,CARUANA,Edward,1,N,N,PUP,Palmer United Party,2572,197,16,207,122,3114,3.89
NSW,104,Barton,23183,VARVARIS,Nickolas,2,Y,N,LP,Liberal,27926,1415,110,1512,2918,33881,1.68
NSW,104,Barton,24923,NAGI,Michael,3,N,N,IND,Independent,2731,94,22,118,106,3071,3.84
NSW,104,Barton,24555,THEO,Perry,4,N,N,ON,One Nation,525,47,8,47,59,686,0.86
NSW,104,Barton,24550,McMAHON,Steve,5,N,N,ALP,Labor,27425,1326,130,1469,1995,32345,-8.05
NSW,104,Barton,24554,FRENCH,Kylie Mary,6,N,N,CDP,Christian Democratic Party (Fred Nile Group),1251,99,8,96,95,1549,1.94
NSW,104,Barton,23220,BROOKER,Jackie,7,N,N,GRN,The Greens,3701,351,27,351,358,4788,-4.87
NSW,104,Barton,24559,WYSE,Rodney Tim,8,N,N,KAP,Katter's Australian Party,458,45,1,22,41,567,0.71
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,9866,427,50,274,331,10948,2.22
NSW,105,Bennelong,23256,PETERS,Lindsay,1,N,N,GRN,The Greens,5880,488,26,449,611,7454,0.47
NSW,105,Bennelong,24738,LI,Jason Yat-Sen,2,N,N,ALP,Labor,24041,962,89,1353,2281,28726,-4.67
NSW,105,Bennelong,24757,WORSLEY,Julie,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),1780,68,7,99,181,2135,0.28
NSW,105,Bennelong,24119,MARKS,Robert James,4,N,N,PUP,Palmer United Party,1287,93,4,83,122,1589,1.8
NSW,105,Bennelong,24094,McCAFFREY,Lachlan Patrick,5,N,N,DLP,Democratic Labour Party (DLP),470,36,3,48,60,617,0.7
NSW,105,Bennelong,23197,ALEXANDER,John,6,Y,Y,LP,Liberal,38541,1488,96,1886,4896,46907,4.46
NSW,105,Bennelong,24715,AUGUST,John,7,N,N,SPA,Secular Party of Australia,472,26,1,36,67,602,0.68
NSW,105,Bennelong,24778,WATERSON,Victor,8,N,N,AFN,Australia First Party,369,19,2,33,69,492,0.56
NSW,105,Bennelong,999,Informal,Informal,999,N,N,,Informal,6293,306,30,226,345,7200,0.15
NSW,106,Berowra,17744,GALLAGHER,Mick,1,N,N,IND,Independent,2707,243,2,129,293,3374,1.03
NSW,106,Berowra,24589,THEW,Leighton,2,N,N,CDP,Christian Democratic Party (Fred Nile Group),1798,117,0,63,157,2135,-0.28
NSW,106,Berowra,23175,STOREY,John,3,N,N,GRN,The Greens,7210,536,9,400,529,8684,-1.37
NSW,106,Berowra,23168,SMYTHE,Deborah,4,N,N,SPP,Stable Population Party,399,37,1,15,40,492,0.57
NSW,106,Berowra,23203,RUDDOCK,Philip,5,Y,Y,LP,Liberal,44666,2347,53,1606,4564,53236,1.46
NSW,106,Berowra,24164,GRAVES,Paul Frederick,6,N,N,PUP,Palmer United Party,1987,145,4,64,124,2324,2.68
NSW,106,Berowra,24544,STOVE,Michael Joseph,7,N,N,ALP,Labor,13832,841,14,589,1126,16402,-3.12
NSW,106,Berowra,999,Informal,Informal,999,N,N,,Informal,4381,333,6,133,243,5096,0.96
NSW,107,Blaxland,24541,TALEB,Nafez,1,N,N,KAP,Katter's Australian Party,1527,183,22,93,96,1921,2.46
NSW,107,Blaxland,23213,KHOURI,Anthony,2,N,N,LP,Liberal,20949,1187,94,925,2424,25579,-0.58
NSW,107,Blaxland,24128,BURROWS,Zali,3,N,N,PUP,Palmer United Party,1743,163,5,81,127,2119,2.71
NSW,107,Blaxland,24623,CLARE,Jason,4,Y,Y,ALP,Labor,37451,1903,219,1347,2648,43568,4.75
NSW,107,Blaxland,24537,NASR,Juliat,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),1354,149,8,80,166,1757,2.25
NSW,107,Blaxland,24329,KY,John,6,N,N,GRN,The Greens,1846,227,11,164,168,2416,-3.17
NSW,107,Blaxland,24348,ZALLOUA,Boutros,7,N,N,DLP,Democratic Labour Party (DLP),629,84,7,68,29,817,1.05
NSW,107,Blaxland,999,Informal,Informal,999,N,N,,Informal,11135,596,84,233,332,12380,-0.39
NSW,108,Bradfield,24211,BUCHANAN,Blake,1,N,N,PUP,Palmer United Party,1915,195,6,110,140,2366,2.67
NSW,108,Bradfield,24065,HARROLD,Paul,2,N,N,DLP,Democratic Labour Party (DLP),776,73,2,71,70,992,1.12
NSW,108,Bradfield,24569,ARCHER,John,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),1294,116,3,90,168,1671,1.88
NSW,108,Bradfield,24551,HAVILAND,Chris,4,N,N,ALP,Labor,12037,852,16,733,1082,14720,-2.62
NSW,108,Bradfield,23200,FLETCHER,Paul,5,Y,Y,LP,Liberal,47869,2277,65,2090,5205,57506,0.39
NSW,108,Bradfield,23308,McINNES,Pippa,6,N,N,GRN,The Greens,9380,770,17,499,763,11429,-3.45
NSW,108,Bradfield,999,Informal,Informal,999,N,N,,Informal,4677,284,9,159,272,5401,1.64
NSW,109,Calare,23245,COBB,John,1,Y,Y,NP,The Nationals,47928,1238,105,1220,2159,52650,5.24
NSW,109,Calare,24662,KIRKLAND,Billie,2,N,N,KAP,Katter's Australian Party,1138,47,3,36,69,1293,1.42
NSW,109,Calare,24626,LYONS,Ian Scott,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),1463,35,8,49,73,1628,-0.41
NSW,109,Calare,24593,JENNINGS,Jess,4,N,N,ALP,Labor,21136,655,41,518,835,23185,-3.66
NSW,109,Calare,21725,ROSS,Macgregor,5,N,N,IND,Independent,2113,105,6,77,87,2388,0.57
NSW,109,Calare,24137,CAIN,Brian Eric,6,N,N,PUP,Palmer United Party,4032,109,11,115,89,4356,4.77
NSW,109,Calare,23346,MALLARD,David,7,N,N,GRN,The Greens,3505,210,7,183,149,4054,-1.56
NSW,109,Calare,24087,CRAIG,Anthony Gerard,8,N,N,DLP,Democratic Labour Party (DLP),659,35,3,22,40,759,0.83
NSW,109,Calare,24669,SCHULTZE,Peter,9,N,N,AFN,Australia First Party,889,48,4,36,33,1010,1.11
NSW,109,Calare,999,Informal,Informal,999,N,N,,Informal,5521,189,22,113,97,5942,1.18
NSW,110,Charlton,24657,CONROY,Pat,1,Y,N,ALP,Labor,34770,1596,159,706,2894,40125,-6.71
NSW,110,Charlton,23196,BAKER,Kevin,2,N,N,LP,Liberal,20847,976,53,679,2091,24646,-2.18
NSW,110,Charlton,24673,CAMILLERI,Steve,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),2270,91,1,59,250,2671,0.27
NSW,110,Charlton,23680,KOCHER,Dessie,4,N,N,GRN,The Greens,4966,309,30,158,357,5820,-2.09
NSW,110,Charlton,24685,BURSTON,Brian,5,N,N,ON,One Nation,1865,90,4,43,264,2266,2.62
NSW,110,Charlton,24141,REID,Bronwyn Elizabeth,6,N,N,PUP,Palmer United Party,8384,320,21,145,542,9412,10.89
NSW,110,Charlton,24691,ANTHONEY,Trevor,7,N,N,BTA,Bullet Train For Australia,1180,92,6,53,129,1460,1.69
NSW,110,Charlton,999,Informal,Informal,999,N,N,,Informal,5935,268,23,90,302,6618,0.19
NSW,111,Chifley,24190,KHAN,Ammar,1,N,N,IND,Independent,1427,170,12,50,90,1749,2.13
NSW,111,Chifley,24631,HUSIC,Ed,2,Y,Y,ALP,Labor,37851,1628,167,872,2526,43044,0.72
NSW,111,Chifley,23215,WHITE,Isabelle,3,N,N,LP,Liberal,22697,1100,82,619,1981,26479,1.85
NSW,111,Chifley,24106,WRIGHT,Michael,4,N,N,DLP,Democratic Labour Party (DLP),631,80,2,45,52,810,0.98
NSW,111,Chifley,24674,VINCENT,Dave,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),2471,115,6,71,199,2862,-1.58
NSW,111,Chifley,24766,NORWICK,Alex,6,N,N,AFN,Australia First Party,315,27,1,15,38,396,-0.69
NSW,111,Chifley,24439,HAMMOND,Ben,7,N,N,GRN,The Greens,1789,187,9,75,138,2198,-5.76
NSW,111,Chifley,24763,POWER,Elizabeth May,8,N,N,ON,One Nation,1085,92,8,30,187,1402,-0.27
NSW,111,Chifley,24273,BUTTEL,Christopher Ernest,9,N,N,PUP,Palmer United Party,2890,260,11,61,139,3361,4.08
NSW,111,Chifley,999,Informal,Informal,999,N,N,,Informal,11777,423,63,153,274,12690,2.2
NSW,112,Cook,24602,SCAYSBROOK,Peter William,1,N,N,ALP,Labor,19446,916,88,942,1458,22850,-4.05
NSW,112,Cook,24136,PALISE,Matthew Gary,2,N,N,PUP,Palmer United Party,3234,225,11,145,150,3765,4.08
NSW,112,Cook,24617,SMITH,Beth,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),1716,79,4,63,119,1981,0.23
NSW,112,Cook,24618,SALEAM,Jim,4,N,N,AFN,Australia First Party,523,33,2,26,33,617,0.67
NSW,112,Cook,24642,COX,Mithra,5,N,N,GRN,The Greens,5089,366,21,290,292,6058,-1.17
NSW,112,Cook,23219,MORRISON,Scott,6,Y,Y,LP,Liberal,48336,1652,149,1787,3783,55707,2.47
NSW,112,Cook,12125,STRANG,Graeme,7,N,N,IND,Independent,1012,81,2,98,128,1321,-0.32
NSW,112,Cook,999,Informal,Informal,999,N,N,,Informal,5221,236,24,152,180,5813,0.11
NSW,113,Cowper,23327,VERNON,Carol,1,N,N,GRN,The Greens,9233,461,24,454,513,10685,3.28
NSW,113,Cowper,24622,McALPINE,Bethany,2,N,N,CDP,Christian Democratic Party (Fred Nile Group),1986,66,0,68,104,2224,0.18
NSW,113,Cowper,23249,HARTSUYKER,Luke,3,Y,Y,NP,The Nationals,40704,1179,70,1366,2501,45820,2.28
NSW,113,Cowper,24182,JEANNERET,Rodney Norman,4,N,N,PUP,Palmer United Party,5126,200,10,214,189,5739,6.64
NSW,113,Cowper,24594,NAVARRO,Alfredo,5,N,N,ALP,Country Labor,19644,612,57,618,979,21910,-2.45
NSW,113,Cowper,999,Informal,Informal,999,N,N,,Informal,4464,129,13,98,109,4813,0.95
NSW,114,Cunningham,23188,CLIFFORD,Philip,1,N,N,LP,Liberal,25821,1035,45,1294,2490,30685,0.8
NSW,114,Cunningham,24153,ATLEE,Christopher James,2,N,N,PUP,Palmer United Party,3654,182,9,219,189,4253,4.66
NSW,114,Cunningham,23258,WILSON,Helen,3,N,N,GRN,The Greens,9067,554,34,495,580,10730,-3.35
NSW,114,Cunningham,24615,GEORGE,Rob,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),1878,89,3,77,157,2204,2.42
NSW,114,Cunningham,24668,BIRD,Sharon,5,Y,Y,ALP,Labor,35706,1512,109,1494,2701,41522,-3.63
NSW,114,Cunningham,24627,BURSILL,John Leslie,6,N,N,KAP,Katter's Australian Party,680,54,0,55,97,886,0.97
NSW,114,Cunningham,23156,FLANAGAN,John,7,N,N,NCP,Non-Custodial Parents Party (Equal Parenting),735,58,6,40,58,897,-0.41
NSW,114,Cunningham,999,Informal,Informal,999,N,N,,Informal,5578,237,16,136,241,6208,0.69
NSW,115,Dobell,23373,OWEN,Greg,1,N,N,CEC,Citizens Electoral Council,573,62,4,29,43,711,0.83
NSW,115,Dobell,21273,THOMSON,Craig,2,N,Y,IND,Independent,2960,176,12,79,217,3444,4
NSW,115,Dobell,24573,KUNDE,Christian,3,N,N,BTA,Bullet Train For Australia,463,63,2,37,57,622,0.72
NSW,115,Dobell,24570,McBRIDE,Emma,4,N,N,ALP,Labor,26386,1203,88,596,1975,30248,-11.16
NSW,115,Dobell,24791,BRACKEN,Nathan,5,N,N,IND,Independent,6113,291,16,139,531,7090,8.23
NSW,115,Dobell,24186,McGILL,Kate Angelique,6,N,N,PUP,Palmer United Party,2512,169,8,87,144,2920,3.39
NSW,115,Dobell,24576,ERVIN,Hadden,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),1046,60,7,25,112,1250,-0.97
NSW,115,Dobell,23243,McNAMARA,Karen,8,Y,N,LP,Liberal,30473,1167,71,864,3042,35617,1.11
NSW,115,Dobell,23244,WYNN,Sue,9,N,N,GRN,The Greens,3495,339,6,167,231,4238,-3.69
NSW,115,Dobell,999,Informal,Informal,999,N,N,,Informal,6310,290,29,123,242,6994,1.45
NSW,117,Eden-Monaro,23189,HENDY,Peter,1,Y,N,LP,Liberal,34268,731,65,2032,3335,40431,3.43
NSW,117,Eden-Monaro,23171,TYE,Martin,2,N,N,SPP,Stable Population Party,482,12,1,39,67,601,0.67
NSW,117,Eden-Monaro,24547,KELLY,Mike,3,N,Y,ALP,Labor,29806,674,75,1668,2415,34638,-4.83
NSW,117,Eden-Monaro,24255,LYNCH,Dean,4,N,N,PUP,Palmer United Party,4083,104,6,202,260,4655,5.21
NSW,117,Eden-Monaro,23239,MOORE,Catherine,5,N,N,GRN,The Greens,5500,212,14,502,497,6725,-2.19
NSW,117,Eden-Monaro,23410,GOUMAS,Costas,6,N,N,CEC,Citizens Electoral Council,142,5,0,16,16,179,0.2
NSW,117,Eden-Monaro,24751,THALER,Andrew,7,N,N,IND,Independent,942,33,4,87,157,1223,1.37
NSW,117,Eden-Monaro,24578,CATTON,Warren,8,N,N,CDP,Christian Democratic Party (Fred Nile Group),715,21,2,45,78,861,0.21
NSW,117,Eden-Monaro,999,Informal,Informal,999,N,N,,Informal,4737,99,12,174,218,5240,-0.71
NSW,118,Farrer,24689,DAVIS,Narelle,1,N,N,RUA,Rise Up Australia Party,1452,30,6,82,76,1646,1.98
NSW,118,Farrer,24229,CATTELL,Brendan,2,N,N,DLP,Democratic Labour Party (DLP),1317,25,5,87,75,1509,1.82
NSW,118,Farrer,24707,TREWIN,Ken,3,N,N,KAP,Katter's Australian Party,2624,46,2,116,303,3091,3.72
NSW,118,Farrer,23181,LEY,Sussan,4,Y,Y,LP,Liberal,40879,593,88,2209,4208,47977,6.4
NSW,118,Farrer,24237,EMMERTON,Ronald James,5,N,N,PUP,Palmer United Party,3007,52,4,154,175,3392,4.09
NSW,118,Farrer,24524,HICKEY,Gavin,6,N,N,ALP,Labor,17699,209,47,778,975,19708,-1.54
NSW,118,Farrer,24709,POWELL,Tracey,7,N,N,BTA,Bullet Train For Australia,887,24,2,67,68,1048,1.26
NSW,118,Farrer,24704,HORWILL,Frank,8,N,N,CDP,Christian Democratic Party (Fred Nile Group),852,22,4,37,67,982,-2.03
NSW,118,Farrer,23238,SOBEY,Christina,9,N,N,GRN,The Greens,3124,82,7,224,206,3643,-1.49
NSW,118,Farrer,999,Informal,Informal,999,N,N,,Informal,5947,62,20,173,155,6357,0.77
NSW,119,Fowler,24633,ATTIA,Matt,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),2988,257,24,121,169,3559,4.53
NSW,119,Fowler,23236,SILAPHET,Benjamin,2,N,N,GRN,The Greens,2140,209,21,127,187,2684,-3.28
NSW,119,Fowler,24591,McLEAN,Darren C,3,N,N,KAP,Katter's Australian Party,717,69,1,22,39,848,1.08
NSW,119,Fowler,23240,NGUYEN,Andrew,4,N,N,LP,Liberal,17285,1114,80,627,1937,21043,-10.18
NSW,119,Fowler,24548,HAYES,Chris,5,Y,Y,ALP,Labor,41820,1827,244,971,2910,47772,7.9
NSW,119,Fowler,24162,PASTOORS,Bradley Charles,6,N,N,PUP,Palmer United Party,2279,188,9,75,171,2722,3.46
NSW,119,Fowler,999,Informal,Informal,999,N,N,,Informal,11529,530,54,172,443,12728,1.1
NSW,120,Gilmore,24639,RYAN,Steve,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),2657,117,10,92,154,3030,0.67
NSW,120,Gilmore,24600,REILLY,Neil Ernest,2,N,N,ALP,Labor,27995,1053,84,916,1741,31789,-0.13
NSW,120,Gilmore,23663,BARRATT,Terry,3,N,N,GRN,The Greens,7115,428,16,407,472,8438,-0.27
NSW,120,Gilmore,24144,HARRIS,Lyndal Gai,4,N,N,PUP,Palmer United Party,5079,199,14,180,254,5726,6.31
NSW,120,Gilmore,23190,SUDMALIS,Ann,5,Y,N,LP,Liberal,36337,1077,63,1355,2894,41726,-4.93
NSW,120,Gilmore,999,Informal,Informal,999,N,N,,Informal,4480,179,15,100,172,4946,0.06
NSW,121,Grayndler,24695,GREEN,Joshua,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1453,157,16,81,121,1828,2.05
NSW,121,Grayndler,24718,SCULLY,Joel,2,N,N,BTA,Bullet Train For Australia,872,108,6,61,124,1171,1.32
NSW,121,Grayndler,23192,SPENCER,Cedric,3,N,N,LP,Liberal,18031,1231,92,828,1799,21981,0.46
NSW,121,Grayndler,23301,GREENLAND,Hall,4,N,N,GRN,The Greens,16882,1399,97,930,1190,20498,-2.87
NSW,121,Grayndler,24207,BALASINGHAM,Mohanadas,5,N,N,PUP,Palmer United Party,1269,117,9,46,81,1522,1.71
NSW,121,Grayndler,24610,ALBANESE,Anthony,6,Y,Y,ALP,Labor,35488,2321,197,1515,2488,42009,1.11
NSW,121,Grayndler,999,Informal,Informal,999,N,N,,Informal,5907,357,50,138,247,6699,-0.08
NSW,122,Greenway,23185,DIAZ,Jaymes,1,N,N,LP,Liberal,28973,1381,114,889,3131,34488,-1.3
NSW,122,Greenway,24422,CAVANOUGH,Jamie,2,N,N,VCE,Australian Voice,412,57,1,22,53,545,0.63
NSW,122,Greenway,24148,WOOTTON,Jodie Camille,3,N,N,PUP,Palmer United Party,2958,220,12,92,201,3483,4.04
NSW,122,Greenway,24655,LILLICRAP,Tom,4,N,N,ASXP,Sex Party,1238,128,6,52,92,1516,1.76
NSW,122,Greenway,24644,ROWLAND,Michelle,5,Y,Y,ALP,Labor,33423,1476,168,809,2443,38319,2.16
NSW,122,Greenway,24670,BELCASTRO,Anthony Gino,6,N,N,KAP,Katter's Australian Party,564,31,2,20,64,681,0.79
NSW,122,Greenway,24658,GREEN,Allan,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),2767,167,15,74,230,3253,0.1
NSW,122,Greenway,24187,BRENTIN,Chris,8,N,N,GRN,The Greens,2622,189,13,114,237,3175,-2.32
NSW,122,Greenway,24648,NICHOLS,Maree,9,N,N,RUA,Rise Up Australia Party,552,43,4,16,66,681,0.79
NSW,122,Greenway,999,Informal,Informal,999,N,N,,Informal,8623,406,59,162,299,9549,-0.29
NSW,124,Hughes,24204,PETERS,John,1,N,N,PUP,Palmer United Party,4427,375,17,177,228,5224,5.9
NSW,124,Hughes,24612,MEGARRITY,Alison Patricia,2,N,N,ALP,Labor,24194,1413,82,1022,1695,28406,-5.71
NSW,124,Hughes,24613,COLSELL,Peter M,3,N,N,CDP,Christian Democratic Party (Fred Nile Group),2176,135,9,78,163,2561,0.44
NSW,124,Hughes,23255,WESTERBERG,Signe,4,N,N,GRN,The Greens,3182,329,12,207,218,3948,-1.83
NSW,124,Hughes,23198,KELLY,Craig,5,Y,Y,LP,Liberal,41473,1921,120,1522,3400,48436,5.53
NSW,124,Hughes,999,Informal,Informal,999,N,N,,Informal,6334,358,19,139,221,7071,0.87
NSW,125,Hume,23400,COSGROVE,Lindsay D,1,N,N,CEC,Citizens Electoral Council,1030,121,5,58,59,1273,1.4
NSW,125,Hume,24601,NICHOLSON,Bruce,2,N,N,KAP,Katter's Australian Party,1364,77,2,75,140,1658,1.82
NSW,125,Hume,24730,HARKER-MORTLOCK,James Robert,3,N,N,IND,Independent,1722,105,4,125,140,2096,2.3
NSW,125,Hume,24787,PILBROW,Michael,4,N,N,ALP,Country Labor,20743,824,58,844,1242,23711,-5.8
NSW,125,Hume,23222,TAYLOR,Angus,5,Y,N,LP,Liberal,42105,1885,90,1747,3278,49105,0.41
NSW,125,Hume,24163,CORNELIUS,Jason Peter,6,N,N,PUP,Palmer United Party,3433,217,12,170,183,4015,4.41
NSW,125,Hume,24698,VAN DER BYL,Adrian,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),1190,53,1,50,103,1397,-0.22
NSW,125,Hume,23770,CHEVALIER,Zaza,8,N,N,GRN,The Greens,4150,372,10,328,358,5218,-1.92
NSW,125,Hume,24808,STYLES,Lynette,9,N,N,ON,One Nation,2116,101,6,89,209,2521,2.77
NSW,125,Hume,999,Informal,Informal,999,N,N,,Informal,5470,305,6,167,194,6142,1.19
NSW,126,Hunter,23297,ATWELL,David,1,N,N,GRN,The Greens,4274,326,19,176,271,5066,-3.03
NSW,126,Hunter,23251,JOHNSEN,Michael,2,N,N,NP,The Nationals,26771,819,68,605,1907,30170,4.06
NSW,126,Hunter,23343,LAWLER,Ann,3,N,N,CEC,Citizens Electoral Council,717,52,3,20,41,833,0.97
NSW,126,Hunter,24549,FOX,Bill,4,N,N,ON,One Nation,2829,117,6,76,217,3245,0.43
NSW,126,Hunter,24224,STEFANAC,Jennifer Susan,5,N,N,PUP,Palmer United Party,5922,223,11,146,250,6552,7.62
NSW,126,Hunter,24543,FITZGIBBON,Joel,6,Y,Y,ALP,Labor,34171,1194,108,709,2059,38241,-9.81
NSW,126,Hunter,24552,STRETTON,Richard,7,N,N,CDP,Christian Democratic Party (Fred Nile Group),1586,76,5,38,129,1834,-0.25
NSW,126,Hunter,999,Informal,Informal,999,N,N,,Informal,5543,194,10,82,185,6014,0.33
NSW,127,Kingsford Smith,24562,SHIHA,Jacquie,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1116,85,5,61,112,1379,1.6
NSW,127,Kingsford Smith,24545,SOMERFIELD,Danielle,2,N,N,RUA,Rise Up Australia Party,265,29,1,31,31,357,0.41
NSW,127,Kingsford Smith,24553,THISTLETHWAITE,Matt,3,Y,N,ALP,Labor,31089,1139,157,1178,2614,36177,-1.81
NSW,127,Kingsford Smith,24240,HAPP,Diane Olga,4,N,N,PUP,Palmer United Party,1339,96,1,73,102,1611,1.87
NSW,127,Kingsford Smith,23187,FENELEY,Michael,5,N,N,LP,Liberal,31328,1111,88,1336,3592,37455,2.25
NSW,127,Kingsford Smith,23227,LUCAS,Geordie,6,N,N,FUT,Future Party,528,43,1,37,84,693,0.8
NSW,127,Kingsford Smith,23751,MACDONALD,James,7,N,N,GRN,The Greens,6688,553,23,510,657,8431,-2.26
NSW,127,Kingsford Smith,999,Informal,Informal,999,N,N,,Informal,7296,237,21,178,398,8130,0.48
NSW,128,Lindsay,24682,LAWSON,Jeffrey Wayne,1,N,N,ON,One Nation,1499,141,19,65,177,1901,2.17
NSW,128,Lindsay,23595,LENTON,David,2,N,N,GRN,The Greens,2200,200,10,105,164,2679,-1.68
NSW,128,Lindsay,24754,SAUNDERS,Mick,3,N,N,AFN,Australia First Party,499,44,3,13,51,610,-0.47
NSW,128,Lindsay,24179,WILCOX,Andrew William,4,N,N,PUP,Palmer United Party,3993,212,22,101,189,4517,5.15
NSW,128,Lindsay,24677,BRADBURY,David,5,N,Y,ALP,Labor,30104,1242,154,713,1999,34212,-5.52
NSW,128,Lindsay,23170,BROWN,Geoff,6,N,N,SPP,Stable Population Party,336,21,1,17,33,408,0.47
NSW,128,Lindsay,23201,SCOTT,Fiona,7,Y,N,LP,Liberal,35748,1223,151,943,2817,40882,3.25
NSW,128,Lindsay,24686,GREEN,Andrew,8,N,N,CDP,Christian Democratic Party (Fred Nile Group),2154,96,9,59,131,2449,-0.22
NSW,128,Lindsay,999,Informal,Informal,999,N,N,,Informal,7028,354,37,88,330,7837,0.04
NSW,130,Lyne,24619,KLOSE,John Walter,1,N,N,CDP,Christian Democratic Party (Fred Nile Group),1784,92,7,77,94,2054,2.38
NSW,130,Lyne,24608,HUTH,Craig,2,N,N,ON,One Nation,1904,85,5,76,138,2208,2.56
NSW,130,Lyne,24637,BUCKLEY CLARE,Brian,3,N,N,KAP,Katter's Australian Party,647,54,3,48,62,814,0.94
NSW,130,Lyne,24595,ALLEY,Peter,4,N,N,ALP,Labor,16023,757,43,701,828,18352,7.79
NSW,130,Lyne,23214,OXENFORD,Ian,5,N,N,GRN,The Greens,4445,350,14,297,234,5340,1.9
NSW,130,Lyne,23252,GILLESPIE,David,6,Y,N,NP,The Nationals,40598,1229,72,1586,2386,45871,18.8
NSW,130,Lyne,24143,WILKIE,Troy Alexander,7,N,N,PUP,Palmer United Party,4180,193,14,192,148,4727,5.48
NSW,130,Lyne,23348,GOUGH,Michael,8,N,N,CEC,Citizens Electoral Council,281,16,0,10,11,318,0.37
NSW,130,Lyne,24758,ATTKINS,Steve,9,N,N,IND,Independent,5770,274,11,221,285,6561,7.61
